person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1061327,1/29/14,5/15/14,8/27/14,8/28/13,5/14/15,2,172797,FALSE,BS,106,0,Full-time,12,FALSE,0,0,12,74,,Jan,Aug,Full-time,PPHRM,1,TRUE,2.4,46723,2.4,0.42,0.920026872,1
1061330,1/29/14,5/15/14,8/27/14,8/31/11,5/14/15,1,173793,FALSE,BA,106,-0.5,Full-time,13.5,TRUE,,0,3.5,89,2.941,Jan,Jan,Full-time,ART,1,FALSE,2.886,45891,2.925,2.41,0.957605062,1
1061331,8/26/15,12/11/15,,8/26/15,12/11/15,4,173854,TRUE,BS,107,,Full-time,15,TRUE,,20998,,,3.6,Aug,Unknown,Unknown,BIOCH,,FALSE,,46552,,0,0.327478391,0
1061333,8/27/14,12/12/14,1/6/15,8/28/13,,,173885,FALSE,BA,107,-0.25,Full-time,15,TRUE,0,0,15.75,39.75,3.859,Aug,Jan,Full-time,COMM,1.01,FALSE,3.91,46725,3.696,0.99,0.996606747,1
1061333,1/29/15,5/14/15,8/26/15,8/28/13,,,173885,FALSE,BA,105,-0.25,Full-time,15.5,TRUE,,0,3,57.75,3.859,Jan,Jan,Full-time,COMM,1,FALSE,3.7,46725,3.592,1.42,0.970533792,1
1061334,8/27/14,12/12/14,1/6/15,2/21/13,5/14/15,1,173886,FALSE,BA,107,-0.75,Full-time,15,FALSE,0,0,16.25,85.75,4.43,Aug,Aug,Full-time,COMM,1.01,FALSE,3.944,46725,3.852,2.99,0.99660675,1
1061337,1/4/16,1/22/16,1/27/16,8/26/15,3/29/16,2,174075,FALSE,BA,18,0,Full-time,3,FALSE,,,15,47,4.317,Jan,Aug,Full-time,BIOCH,1,FALSE,4,49316,4,0.35,0.989292325,1
1061338,8/28/13,12/13/13,1/3/14,9/1/10,5/15/14,1,174086,FALSE,BA,107,-0.75,Full-time,15.5,FALSE,-3146,0,13,109.75,3.937,Aug,Jan,Full-time,BIOCH,1,FALSE,3.208,85306,3.766,2.99,0.996606758,1
1061339,1/29/14,5/15/14,8/27/14,8/29/12,5/12/16,1,174087,FALSE,BS,106,-0.5,Full-time,15.5,TRUE,,1251,3,65,3.917,Jan,Jan,Full-time,CHEM,1,FALSE,4,85306,3.774,1.41,0.941839736,1
1061340,1/29/14,5/15/14,8/27/14,8/29/12,5/14/15,1,174118,FALSE,BS,106,-0.5,Full-time,16.5,TRUE,,0,3,77.5,3.697,Jan,Jan,Full-time,BIOCH,1,TRUE,4,46706,3.542,1.41,0.982299366,1
1061340,1/6/15,1/26/15,1/29/15,8/29/12,5/14/15,1,174118,FALSE,BS,20,-0.5,Full-time,3,FALSE,,,14.5,108.5,3.697,Jan,Aug,Full-time,BIOCH,1,TRUE,4,46706,3.665,2.35,0.996816591,1
1061342,8/27/14,12/12/14,1/6/15,8/27/14,4/4/16,2,174278,FALSE,BS,107,,Full-time,16,TRUE,,0,,,3.82,Aug,Unknown,Unknown,PPHRM,,FALSE,,46528,,0,0.993817597,1
1061345,1/29/14,5/15/14,,9/1/10,5/15/14,1,174334,TRUE,BS,106,-1,Full-time,13.5,FALSE,,2253,3,120.5,2.816,Jan,Jan,Full-time,SOC,1,FALSE,3.7,46582,3.483,3.41,0.954318212,1
1061346,8/27/14,12/12/14,8/26/15,,,,174346,FALSE,Unknown,107,,Part-time,3,FALSE,,0,,,3.954,Aug,Unknown,Unknown,,,FALSE,,46962,,-0.99,0.908450362,1
1061348,1/29/14,5/15/14,8/27/14,8/31/11,5/14/15,1,174442,FALSE,BS,106,-0.75,Full-time,15,TRUE,,0,3,92.75,3.795,Jan,Jan,Full-time,BIOCH,1,FALSE,4,46845,3.872,2.41,0.983117901,1
1061348,1/29/15,5/14/15,,8/31/11,5/14/15,1,174442,TRUE,BS,105,-0.75,Full-time,16,TRUE,0,0,16.5,124.25,3.795,Jan,Aug,Full-time,BIOCH,1,FALSE,3.891,46845,3.871,3.41,0.982299402,1
1061349,8/28/13,12/13/13,1/3/14,11/8/11,,,174443,FALSE,BS,107,2.75,Full-time,14.5,FALSE,0,0,12.25,55.25,2.55,Aug,Jan,Full-time,MRKT,1.02,FALSE,2.575,46750,2.243,1.99,0.996606772,1
1061349,1/29/15,5/14/15,,11/8/11,,,174443,TRUE,BS,105,9.25,Full-time,14.5,FALSE,,1,3,111.25,2.55,Jan,Jan,Full-time,MRKT,1,FALSE,3,46750,2.401,3.41,0.920009525,0
1061350,8/27/14,12/12/14,1/6/15,8/27/14,3/8/16,2,174448,FALSE,BS,107,,Full-time,13,TRUE,,3096,,,3.728,Aug,Unknown,Unknown,ATRN,,FALSE,,32773,,0,0.985519016,1
1061350,1/6/15,1/26/15,1/29/15,8/27/14,3/8/16,2,174448,FALSE,BS,20,0,Full-time,3,FALSE,,,13,24,3.728,Jan,Aug,Full-time,ATRN,1,FALSE,3.931,32773,3.931,0.36,0.982299379,1
1061350,8/26/15,12/11/15,1/4/16,8/27/14,3/8/16,2,174448,FALSE,BS,107,-0.25,Full-time,12.5,TRUE,904,4000,16.25,43.25,3.728,Aug,Jan,Full-time,ATRN,1.01,FALSE,3.869,32773,3.878,0.99,0.992979083,1
1061351,1/3/14,1/23/14,1/29/14,8/29/12,4/8/15,2,174504,FALSE,BS,20,2.75,Full-time,3,FALSE,,,14,51.75,3.73,Jan,Aug,Full-time,BIOCH,1,FALSE,2.229,46501,2.332,1.34,0.992606525,1
1061351,1/29/14,5/15/14,5/20/14,8/29/12,4/8/15,2,174504,FALSE,BS,106,2.75,Full-time,16,FALSE,,4605,3,54.75,3.73,Jan,Jan,Full-time,BIOCH,1,FALSE,4,46501,2.419,1.41,0.923272535,1
1061351,5/20/14,7/1/14,8/27/14,8/29/12,4/8/15,2,174504,FALSE,BS,42,2.5,Full-time,7,FALSE,,,16.25,71,3.73,May,Jan,Full-time,BIOCH,1.01,FALSE,1.894,46501,2.305,1.72,0.983706979,1
1061351,1/6/15,1/26/15,5/19/15,8/29/12,4/8/15,2,174504,FALSE,BS,20,6.5,Full-time,4,FALSE,,,6,81,3.73,Jan,Aug,Part-time,BIOCH,0.85,FALSE,2.443,46501,2.301,2.35,0.970601123,1
1061354,8/28/13,12/13/13,1/3/14,8/28/13,4/10/15,2,174626,FALSE,BS,107,,Full-time,15,TRUE,,197,,,3.765,Aug,Unknown,Unknown,ENGR,,FALSE,,46975,,0,0.994875465,1
1061355,8/26/15,12/11/15,1/4/16,8/26/15,,,174633,FALSE,BS,107,,Full-time,14,TRUE,,152,,,3.089,Aug,Unknown,Unknown,HIST,,FALSE,,46123,,0,0.992606538,1
1061355,1/4/16,1/22/16,1/27/16,8/26/15,,,174633,FALSE,BS,18,0,Part-time,2,FALSE,,,14,23,3.089,Jan,Aug,Full-time,HIST,1,FALSE,2.5,46123,2.5,0.35,0.983748136,1
1061358,8/26/15,12/11/15,1/4/16,8/27/14,,,174670,FALSE,BA,107,-0.25,Full-time,19,TRUE,0,0,16.25,41.25,3.43,Aug,Jan,Full-time,SOWK,1.01,FALSE,3.681,53711,3.743,0.99,0.996606737,1
1061358,1/4/16,1/22/16,1/27/16,8/27/14,,,174670,FALSE,BA,18,-0.5,Full-time,3,FALSE,,,19.25,60.5,3.43,Jan,Aug,Full-time,SOWK,1.01,FALSE,3.368,53711,3.611,1.35,0.992762948,1
1061359,1/3/14,1/23/14,1/29/14,4/12/12,5/15/14,1,174681,FALSE,BS,20,-0.75,Full-time,3,FALSE,,,18,131.75,3.922,Jan,Aug,Full-time,MATH,1,FALSE,2.35,46750,3.352,3.34,0.992606507,1
1061359,1/29/14,5/15/14,,4/12/12,5/15/14,1,174681,TRUE,BS,106,-0.75,Full-time,15,TRUE,,208,3,134.75,3.922,Jan,Jan,Full-time,MATH,1,FALSE,3.7,46750,3.36,3.41,0.965262159,1
1061360,1/3/14,1/23/14,1/29/14,4/11/13,1/26/15,1,174682,FALSE,BA,20,-6.5,Full-time,3,FALSE,,,17.25,108.5,3.769,Jan,Aug,Full-time,ENVSC,1.01,FALSE,3.318,46260,3.139,3.34,0.996816547,1
1061360,1/29/14,5/15/14,7/3/14,4/11/13,1/26/15,1,174682,FALSE,BA,106,-6.5,Full-time,13,TRUE,,1500,3,111.5,3.769,Jan,Jan,Full-time,ENVSC,1,FALSE,3.7,46260,3.161,3.41,0.970619076,1
